x,y,PanCK+,CAIX+,Pimo+,Necrosis,Celltype
297.03,550.76,0,0,0,0,CD8
294.15,1730.46,1,0,0,0,CD8
294.61,1784.46,1,0,0,0,CD8
290.95,2334.22,0,0,0,0,CD8
292.47,3164.34,0,0,0,0,CD8
296.63,3371.04,0,0,0,0,CD8
291.40,3646.30,1,0,0,0,CD8
292.53,624.24,0,0,0,0,CD8
297.94,60.44,1,0,0,0,CD8
295.03,4060.78,1,0,1,0,CD8
297.02,583.71,0,0,0,0,CD8
299.25,1687.54,1,0,0,0,CD8
300.94,1759.15,1,0,0,0,CD8
298.90,2532.66,0,0,0,0,CD8
301.67,2634.76,1,0,0,0,CD8
304.61,2652.43,1,0,0,0,CD8
305.24,1051.71,1,0,1,0,CD8
302.95,1710.58,1,0,0,0,CD8
305.73,2555.63,1,0,0,0,CD8
304.12,2574.75,0,0,0,0,CD8
305.72,3145.35,1,0,0,0,CD8
305.46,3160.68,0,0,0,0,CD8
306.67,617.76,0,0,0,0,CD8
314.42,2460.22,0,0,0,0,CD8
309.02,3178.98,1,0,0,0,CD8
311.42,249.99,0,0,0,0,CD8
310.66,676.15,0,0,0,0,CD8
312.53,1777.82,1,0,0,0,CD8
310.75,1830.00,1,0,0,0,CD8
310.26,1872.54,0,0,0,0,CD8
312.58,2540.57,0,0,0,0,CD8
312.47,3359.05,1,0,0,0,CD8
311.60,3555.13,1,0,0,0,CD8
311.55,3786.20,1,0,0,0,CD8
311.18,3894.79,1,0,0,0,CD8
315.02,3589.31,0,0,0,0,CD8
314.94,3821.50,0,0,0,0,CD8
315.26,831.77,1,0,0,0,CD8
314.97,3627.57,1,0,0,0,CD8
317.75,537.71,0,0,0,0,CD8
317.35,746.00,0,0,0,0,CD8
316.71,2499.61,0,0,0,0,CD8
320.66,3577.16,1,0,0,0,CD8
322.30,2513.62,1,0,0,0,CD8
329.56,817.05,0,0,0,0,CD8
322.50,4081.54,1,0,1,0,CD8
324.48,24.70,0,0,0,0,CD8
326.38,586.98,0,0,0,0,CD8
321.92,2419.23,0,0,0,0,CD8
322.75,2555.68,1,0,0,0,CD8
325.35,612.18,0,0,0,0,CD8
323.91,3126.99,1,0,0,0,CD8
324.20,3165.99,0,0,0,0,CD8
329.74,2324.84,0,0,0,0,CD8
328.20,2477.48,0,0,0,0,CD8
332.28,2428.09,0,0,0,0,CD8
331.90,571.32,0,0,0,0,CD8
326.81,3249.26,1,0,0,0,CD8
332.27,633.29,0,0,0,0,CD8
331.75,1855.66,0,0,0,0,CD8
331.62,1871.49,0,0,0,0,CD8
332.41,3524.37,1,0,0,0,CD8
336.22,713.24,0,0,0,0,CD8
337.78,2550.40,1,1,0,0,CD8
339.07,2369.06,0,0,0,0,CD8
339.99,2384.08,0,0,0,0,CD8
338.71,2508.42,0,0,0,0,CD8
341.41,2888.74,1,0,0,0,CD8
338.61,3605.41,1,0,0,0,CD8
340.64,605.41,0,0,0,0,CD8
342.15,620.79,0,0,0,0,CD8
344.11,728.15,0,0,0,0,CD8
339.70,2524.34,0,0,0,0,CD8
340.18,3575.93,1,0,0,0,CD8
343.44,2468.91,0,0,0,0,CD8
343.30,578.76,0,0,0,0,CD8
347.68,2538.20,0,0,0,0,CD8
341.81,1904.97,0,0,0,0,CD8
342.07,2294.60,0,0,0,0,CD8
346.73,2490.15,0,0,0,0,CD8
351.38,2350.35,0,0,0,0,CD8
346.86,1589.78,1,0,0,0,CD8
